Trial,Wire,NetType,Run,RunSteps,NetworkFilename,Image,Forward,Left,LeftRotation
10,1fail,actor,231,12,actor_231_12.h5,14,0.372562,0.111412,-0.231277
10,1fail,actor,231,12,actor_231_12.h5,15,0.34514,0.41142,0.152963
10,1fail,actor,231,12,actor_231_12.h5,16,0.351146,0.210237,-0.163291
10,1fail,actor,241,12,actor_241_12.h5,01,0.351352,0.281749,0.0467376
10,1fail,actor,241,12,actor_241_12.h5,02,0.345649,0.167216,-0.0734368
10,1fail,actor,241,12,actor_241_12.h5,03,0.341439,0.386943,0.0917391
10,1fail,actor,241,12,actor_241_12.h5,04,0.376947,0.0707514,-0.133421
10,1fail,actor,241,12,actor_241_12.h5,05,0.3405,0.338386,0.043796
10,1fail,actor,241,12,actor_241_12.h5,06,0.33785,0.390038,0.138538
10,1fail,actor,241,12,actor_241_12.h5,07,0.350441,0.111405,-0.116008
10,1fail,actor,241,12,actor_241_12.h5,08,0.377777,0.0517365,-0.25801
10,1fail,actor,241,12,actor_241_12.h5,09,0.389214,0.170212,-0.0439448
10,1fail,actor,241,12,actor_241_12.h5,10,0.33611,0.423825,0.163013
10,1fail,actor,241,12,actor_241_12.h5,11,0.3489,0.292172,-0.00180138
10,1fail,actor,241,12,actor_241_12.h5,12,0.353613,0.16389,-0.10015
10,1fail,actor,241,12,actor_241_12.h5,13,0.336119,0.430842,0.137579
10,1fail,actor,241,12,actor_241_12.h5,14,0.370508,0.0859485,-0.230951
10,1fail,actor,241,12,actor_241_12.h5,15,0.341563,0.414044,0.16339
10,1fail,actor,241,12,actor_241_12.h5,16,0.348444,0.200989,-0.143671
10,1fail,actor,251,14,actor_251_14.h5,01,0.355616,0.234359,0.0199676
10,1fail,actor,251,14,actor_251_14.h5,02,0.347449,0.12351,-0.0685514
10,1fail,actor,251,14,actor_251_14.h5,03,0.345711,0.343708,0.0598892
10,1fail,actor,251,14,actor_251_14.h5,04,0.380204,0.0238937,-0.148938
10,1fail,actor,251,14,actor_251_14.h5,05,0.342345,0.305196,0.0296644
10,1fail,actor,251,14,actor_251_14.h5,06,0.341817,0.346337,0.120504
10,1fail,actor,251,14,actor_251_14.h5,07,0.354786,0.0583956,-0.118999
10,1fail,actor,251,14,actor_251_14.h5,08,0.38003,0.00368779,-0.267941
10,1fail,actor,251,14,actor_251_14.h5,09,0.391848,0.134727,-0.0566423
10,1fail,actor,251,14,actor_251_14.h5,10,0.338019,0.396124,0.14966
10,1fail,actor,251,14,actor_251_14.h5,11,0.352066,0.254788,-0.0173445
10,1fail,actor,251,14,actor_251_14.h5,12,0.356207,0.122299,-0.0922029
10,1fail,actor,251,14,actor_251_14.h5,13,0.339652,0.389696,0.104532
10,1fail,actor,251,14,actor_251_14.h5,14,0.373051,0.0359942,-0.244004
10,1fail,actor,251,14,actor_251_14.h5,15,0.34357,0.387424,0.14544
10,1fail,actor,251,14,actor_251_14.h5,16,0.351451,0.15876,-0.146316
10,1fail,actor,261,18,actor_261_18.h5,01,0.356916,0.191703,-0.0107903
10,1fail,actor,261,18,actor_261_18.h5,02,0.347123,0.0838172,-0.0790207
10,1fail,actor,261,18,actor_261_18.h5,03,0.347771,0.309494,0.0280758
10,1fail,actor,261,18,actor_261_18.h5,04,0.381151,-0.0155725,-0.17278
10,1fail,actor,261,18,actor_261_18.h5,05,0.342285,0.277671,0.00837063
10,1fail,actor,261,18,actor_261_18.h5,06,0.343039,0.308844,0.0937233
10,1fail,actor,261,18,actor_261_18.h5,07,0.356802,0.0135116,-0.138348
10,1fail,actor,261,18,actor_261_18.h5,08,0.380839,-0.0395934,-0.286357
10,1fail,actor,261,18,actor_261_18.h5,09,0.392512,0.108455,-0.0738884
10,1fail,actor,261,18,actor_261_18.h5,10,0.337063,0.37941,0.13319
10,1fail,actor,261,18,actor_261_18.h5,11,0.353061,0.224702,-0.0383263
10,1fail,actor,261,18,actor_261_18.h5,12,0.356418,0.0852982,-0.103548
10,1fail,actor,261,18,actor_261_18.h5,13,0.34086,0.356509,0.0740108
10,1fail,actor,261,18,actor_261_18.h5,14,0.373774,-0.00595234,-0.267202
10,1fail,actor,261,18,actor_261_18.h5,15,0.343886,0.366846,0.124091
10,1fail,actor,261,18,actor_261_18.h5,16,0.351629,0.117967,-0.163595
10,1fail,actor,271,17,actor_271_17.h5,01,0.356538,0.187694,-0.00562016
10,1fail,actor,271,17,actor_271_17.h5,02,0.345513,0.0966509,-0.0554841
10,1fail,actor,271,17,actor_271_17.h5,03,0.347237,0.311888,0.0334631
10,1fail,actor,271,17,actor_271_17.h5,04,0.380753,-0.0221524,-0.172242
10,1fail,actor,271,17,actor_271_17.h5,05,0.340862,0.286991,0.0172758
10,1fail,actor,271,17,actor_271_17.h5,06,0.342571,0.313194,0.107314
10,1fail,actor,271,17,actor_271_17.h5,07,0.356217,0.0144438,-0.121467
10,1fail,actor,271,17,actor_271_17.h5,08,0.381182,-0.0485177,-0.284077
10,1fail,actor,271,17,actor_271_17.h5,09,0.392116,0.106147,-0.0695039
